# Station : HERBAUDIERE
# Longitude : -2.298913
# Latitude : 47.024943
# Organisme fournisseur de données : Shom, CCNoirmoutier, CCI Vendée, CG85
# Fuseau horaire : UTC
# Référence verticale : zero_hydrographique
# Unité : m
# Source 1 : Données brutes temps réel
# Source 2 : Données brutes temps différé
# Source 3 : Données validées temps différé
# Source 4 : Données horaires validées
# Source 5 : Données horaires brutes
# Source 6 : Pleines et basses mers
# Date;Valeur;Source
20/01/2021 22:00:00;4.676;4
20/01/2021 23:00:00;4.515;4
21/01/2021 00:00:00;4.199;4
21/01/2021 01:00:00;3.567;4
21/01/2021 02:00:00;3.012;4
21/01/2021 03:00:00;2.706;4
21/01/2021 04:00:00;2.781;4
21/01/2021 05:00:00;3.242;4
21/01/2021 06:00:00;3.866;4
21/01/2021 07:00:00;4.448;4
21/01/2021 08:00:00;4.828;4
21/01/2021 09:00:00;4.862;4
21/01/2021 10:00:00;4.701;4
21/01/2021 11:00:00;4.615;4
21/01/2021 12:00:00;4.481;4
21/01/2021 13:00:00;4.204;4
21/01/2021 14:00:00;3.7;4
21/01/2021 15:00:00;3.113;4
21/01/2021 16:00:00;2.876;4
21/01/2021 17:00:00;3.106;4
21/01/2021 18:00:00;3.77;4
21/01/2021 19:00:00;4.3;4
21/01/2021 20:00:00;4.487;4
21/01/2021 21:00:00;4.508;4
21/01/2021 22:00:00;4.542;4
21/01/2021 23:00:00;4.564;4
22/01/2021 00:00:00;4.453;4
22/01/2021 01:00:00;4.131;4
22/01/2021 02:00:00;3.6;4
22/01/2021 03:00:00;3.069;4
22/01/2021 04:00:00;2.873;4
22/01/2021 05:00:00;2.994;4
22/01/2021 06:00:00;3.411;4
22/01/2021 07:00:00;3.886;4
22/01/2021 08:00:00;4.291;4
22/01/2021 09:00:00;4.549;4
22/01/2021 10:00:00;4.622;4
22/01/2021 11:00:00;4.628;4
22/01/2021 12:00:00;4.481;4
22/01/2021 13:00:00;4.158;4
22/01/2021 14:00:00;3.716;4
22/01/2021 15:00:00;3.331;4
22/01/2021 16:00:00;3.002;4
22/01/2021 17:00:00;2.884;4
22/01/2021 18:00:00;3.065;4
22/01/2021 19:00:00;3.506;4
22/01/2021 20:00:00;3.98;4
22/01/2021 21:00:00;4.275;4
22/01/2021 22:00:00;4.469;4
22/01/2021 23:00:00;4.56;4
23/01/2021 00:00:00;4.618;4
23/01/2021 01:00:00;4.518;4
23/01/2021 02:00:00;4.199;4
23/01/2021 03:00:00;3.762;4
23/01/2021 04:00:00;3.365;4
23/01/2021 05:00:00;3.081;4
23/01/2021 06:00:00;3.138;4
23/01/2021 07:00:00;3.452;4
23/01/2021 08:00:00;4.025;4
23/01/2021 09:00:00;4.321;4
23/01/2021 10:00:00;4.475;4
23/01/2021 11:00:00;4.539;4
23/01/2021 12:00:00;4.705;4
23/01/2021 13:00:00;4.623;4
23/01/2021 14:00:00;4.244;4
23/01/2021 15:00:00;3.747;4
23/01/2021 16:00:00;3.266;4
23/01/2021 17:00:00;2.924;4
23/01/2021 18:00:00;2.867;4
23/01/2021 19:00:00;3.041;4
23/01/2021 20:00:00;3.413;4
23/01/2021 21:00:00;3.884;4
23/01/2021 22:00:00;4.322;4
23/01/2021 23:00:00;4.609;4
24/01/2021 00:00:00;4.717;4
24/01/2021 01:00:00;4.719;4
24/01/2021 02:00:00;4.533;4
24/01/2021 03:00:00;4.175;4
24/01/2021 04:00:00;3.685;4
24/01/2021 05:00:00;3.118;4
24/01/2021 06:00:00;2.804;4
24/01/2021 07:00:00;2.833;4
24/01/2021 08:00:00;3.134;4
24/01/2021 09:00:00;3.583;4
24/01/2021 10:00:00;4.072;4
24/01/2021 11:00:00;4.468;4
24/01/2021 12:00:00;4.723;4
24/01/2021 13:00:00;4.773;4
24/01/2021 14:00:00;4.661;4
24/01/2021 15:00:00;4.331;4
24/01/2021 16:00:00;3.856;4
24/01/2021 17:00:00;3.233;4
24/01/2021 18:00:00;2.729;4
24/01/2021 19:00:00;2.599;4
24/01/2021 20:00:00;2.873;4
24/01/2021 21:00:00;3.325;4
24/01/2021 22:00:00;3.862;4
24/01/2021 23:00:00;4.343;4
25/01/2021 00:00:00;4.723;4
25/01/2021 01:00:00;4.863;4
25/01/2021 02:00:00;4.816;4
25/01/2021 03:00:00;4.562;4
25/01/2021 04:00:00;4.108;4
25/01/2021 05:00:00;3.436;4
25/01/2021 06:00:00;2.806;4
25/01/2021 07:00:00;2.474;4
25/01/2021 08:00:00;2.5;4
25/01/2021 09:00:00;2.788;4
25/01/2021 10:00:00;3.361;4
25/01/2021 11:00:00;3.976;4
25/01/2021 12:00:00;4.534;4
25/01/2021 13:00:00;4.793;4
25/01/2021 14:00:00;4.813;4
25/01/2021 15:00:00;4.675;4
25/01/2021 16:00:00;4.259;4
25/01/2021 17:00:00;3.558;4
25/01/2021 18:00:00;2.804;4
25/01/2021 19:00:00;2.295;4
25/01/2021 20:00:00;2.247;4
25/01/2021 21:00:00;2.569;4
25/01/2021 22:00:00;3.176;4
25/01/2021 23:00:00;3.858;4
26/01/2021 00:00:00;4.492;4
26/01/2021 01:00:00;4.855;4
26/01/2021 02:00:00;4.973;4
26/01/2021 03:00:00;4.867;4
26/01/2021 04:00:00;4.549;4
26/01/2021 05:00:00;3.88;4
26/01/2021 06:00:00;3.136;4
26/01/2021 07:00:00;2.471;4
26/01/2021 08:00:00;2.093;4
26/01/2021 09:00:00;2.201;4
26/01/2021 10:00:00;2.757;4
26/01/2021 11:00:00;3.547;4
26/01/2021 12:00:00;4.285;4
26/01/2021 13:00:00;4.781;4
26/01/2021 14:00:00;5.042;4
26/01/2021 15:00:00;5.064;4
26/01/2021 16:00:00;4.802;4
26/01/2021 17:00:00;4.182;4
26/01/2021 18:00:00;3.326;4
26/01/2021 19:00:00;2.546;4
26/01/2021 20:00:00;2.07;4
26/01/2021 21:00:00;2.055;4
26/01/2021 22:00:00;2.552;4
26/01/2021 23:00:00;3.38;4
27/01/2021 00:00:00;4.206;4
27/01/2021 01:00:00;4.868;4
27/01/2021 02:00:00;5.217;4
27/01/2021 03:00:00;5.206;4
27/01/2021 04:00:00;5.016;4
27/01/2021 05:00:00;4.495;4
27/01/2021 06:00:00;3.659;4
27/01/2021 07:00:00;2.754;4
27/01/2021 08:00:00;2.043;4
